,30117,118427,147901,170613,219289,219668,220350,238827,280160,331905,337513,343575,364022,377597,444374,448792,450979,467021,479522,546405,552150,571396,602515,649009,668938,703601,716575,785318,785363,791640,817408,829461,838673,881966,912858,924891,926195,952473
0,2,1,0,1,1,1,0,0,2,2,0,0,-1,0,1,1,0,0,0,1,0,-2,0,1,2,-1,-1,-1,2,1,0,-1,0,0,1,1,1,-1
1,-1,-1,-2,1,0,-2,0,0,1,0,-1,1,-1,-1,-1,-2,-1,-1,0,-1,0,0,-1,-1,0,0,-1,-1,-2,-1,-1,-1,-1,1,2,1,0,0
2,-1,-1,-1,0,0,-1,1,1,0,-1,-1,0,0,1,0,1,1,1,0,1,-1,-1,-1,0,-1,0,0,-2,-1,0,0,-1,-1,-1,2,0,-1,-1
3,1,0,0,0,0,-1,1,0,-1,-1,1,-1,0,-1,1,0,1,2,-1,0,0,-1,-1,1,1,1,1,0,2,-1,0,-1,0,1,1,1,0,-1
4,-2,-1,-2,2,-2,-1,0,0,0,1,-1,0,0,-2,-1,-1,-1,-1,1,1,1,0,-1,-1,-1,0,1,-1,-1,-1,1,-1,0,2,1,1,-1,1
5,0,1,2,-1,-1,0,0,-1,-1,-1,1,0,0,2,2,1,1,1,-1,0,-1,-1,0,0,2,0,1,2,2,0,1,-1,0,2,-2,-1,0,-2
6,1,-1,0,0,-1,0,2,1,-2,1,0,2,0,-1,0,-2,-1,-1,0,0,1,0,1,1,-2,0,1,-1,1,-2,1,0,1,1,-2,1,1,2
7,-2,-1,-2,-1,-1,-2,-1,0,1,-1,-1,-1,-1,-1,1,-2,0,0,0,0,-1,0,-1,1,-1,0,-1,-1,-1,0,-1,-2,-1,1,-2,0,-2,1
8,0,1,0,-1,-1,0,1,1,-1,1,-1,-1,1,0,-1,-2,-1,0,1,1,-1,0,2,1,1,0,-1,0,1,1,2,1,-1,0,0,1,0,0
9,1,-1,-2,1,-1,-1,1,0,1,0,0,-1,1,0,1,0,-1,0,-1,-1,1,-1,0,-1,-1,0,-1,1,0,0,1,-2,-1,1,1,1,0,-1
10,1,0,0,-2,1,0,0,-1,1,1,-1,0,2,2,1,-1,1,0,1,1,2,1,0,-1,0,0,2,-1,1,0,2,-1,0,1,2,0,1,2
11,-1,0,-1,-1,0,-1,1,1,2,0,0,1,0,0,-1,-1,0,0,-1,-2,0,-1,0,-1,1,0,1,-2,-1,1,0,-1,0,1,-1,-1,0,-1
